,hits@5_count,hits@10_count,interacted_count,recall@5,recall@10,_person_id
31812,1,1,1,1.0,1.0,A3LI62OP5362Q8
31302,1,1,1,1.0,1.0,A3U1W6LJWBOL3
31301,1,1,1,1.0,1.0,A2YGU5NZYTCVIG
31300,1,1,1,1.0,1.0,A18LGL57ABJ24E
31299,1,1,1,1.0,1.0,AGSP3Z8UDI9LT
31298,0,0,1,0.0,0.0,A38UJWWIJ2JIXF
31813,0,0,1,0.0,0.0,A30QN693P1A7G4
31809,0,1,1,0.0,1.0,ANYTBNV70L119
31808,1,1,1,1.0,1.0,A3HUB952YSSZBD
99,1,1,1,1.0,1.0,A3Z4ND64CSLW4
31310,0,1,1,0.0,1.0,A2KMKTXSAIM1NF
31323,1,1,1,1.0,1.0,A9XKEV93OF0W5
31322,1,1,1,1.0,1.0,AD984OJQSLQUV
31805,1,1,1,1.0,1.0,A3S19TR4DVFB0D
31321,0,0,1,0.0,0.0,A1NSUJYBA5A4FC
31320,1,1,1,1.0,1.0,A278G09SB9PSHV
31319,1,1,1,1.0,1.0,AOSQ5JIA2X4M
31806,0,1,1,0.0,1.0,A1EZAURC126SP5
171,1,1,1,1.0,1.0,A8G8CN71MDLCX
174,1,1,1,1.0,1.0,A1OD2TVGQS0G29
31316,0,0,1,0.0,0.0,A1OZY4JSR1VPVX
31315,0,0,1,0.0,0.0,A1IV8QISDIS8XO
31314,0,0,1,0.0,0.0,A16CZRH9AZVKWW
31313,1,1,1,1.0,1.0,A1ZKX02US7N0CS
31312,0,1,1,0.0,1.0,A2312JXO1F1P9T
31311,1,1,1,1.0,1.0,A4GV6UHFPAPYP
31814,0,1,1,0.0,1.0,A19G6SCBUYGTJP
31296,0,1,1,0.0,1.0,A2SRTNEGYQXY02
178,1,1,1,1.0,1.0,A2FTCYX46DDQSH
31278,1,1,1,1.0,1.0,A3JTNT74U5AENC
31276,0,1,1,0.0,1.0,AATOPQ8HE4XYT
184,1,1,1,1.0,1.0,A3S1T3MYXKAAXU
31274,1,1,1,1.0,1.0,A2101EU3NRQTAQ
31273,0,0,1,0.0,0.0,A3LJBZHVTBPMAQ
31272,0,1,1,0.0,1.0,A1FPLG4XN53V85
31271,0,1,1,0.0,1.0,A3JJLRD3SJ8KLE
31270,0,0,1,0.0,0.0,A2MSNHUA2IEULO
31818,1,1,1,1.0,1.0,AOLQQ9TFLNTEW
31268,0,1,1,0.0,1.0,A1E37DNGUC3GCI
31267,0,0,1,0.0,0.0,ATMCG4GIGFDQM
31266,1,1,1,1.0,1.0,A1H4QXF6HU9RN1
31265,0,1,1,0.0,1.0,A1JYKXFJQMY0YG
31264,0,0,1,0.0,0.0,AYD6OAICUNDWZ
31263,0,1,1,0.0,1.0,A22YJN9HKE8R5T
31262,1,1,1,1.0,1.0,A270A3KNSPSJJJ
31277,0,0,1,0.0,0.0,A14OQ67LM79KW3
31817,0,0,1,0.0,0.0,AQCWHVFAA92EI
31294,1,1,1,1.0,1.0,AVM1T8DRFUCWY
31279,1,1,1,1.0,1.0,A1YTF9JF63HNEE
31293,0,0,1,0.0,0.0,A136MAOWGCU2C2
31292,1,1,1,1.0,1.0,A3190RJ4JEAO88
31291,1,1,1,1.0,1.0,A7MJTKHGS43RY
31290,1,1,1,1.0,1.0,A23AL6H01AB3AT
31289,0,0,1,0.0,0.0,A2765HIO21HZ9O
31815,0,1,1,0.0,1.0,A3ETMXC5X45M0Q
31287,0,1,1,0.0,1.0,A1N0GP7HL9IKZ6
31286,1,1,1,1.0,1.0,AG1E1MB5T1878
31816,1,1,1,1.0,1.0,A25ZI2T1KRSY15
31285,1,1,1,1.0,1.0,A3RPD561W8MAAD
31284,0,0,1,0.0,0.0,A3CQ5X4DM1GCK7
31283,0,1,1,0.0,1.0,A1QDWBIPFE1A25
31282,0,1,1,0.0,1.0,ACLSXT7DIIKAM
31281,1,1,1,1.0,1.0,A3MLH5VYUW2RVJ
31280,0,0,1,0.0,0.0,A3JWJNIWXHMW9Y
31771,1,1,1,1.0,1.0,A15IZCHN8ERYQU
31770,0,0,1,0.0,0.0,A1UV1AFC1LPXR0
31448,1,1,1,1.0,1.0,A2R118SM1VKBCS
31624,1,1,1,1.0,1.0,A2OQ15NCAYCDYF
31631,1,1,1,1.0,1.0,A2B6Y627P56KQR
31630,1,1,1,1.0,1.0,A3JNWVT77Z2VPQ
31629,1,1,1,1.0,1.0,AE5NGEGKIV6UW
31628,1,1,1,1.0,1.0,AFV50N24M1W23
31627,1,1,1,1.0,1.0,A2KBU6Y0FDZJXZ
31626,1,1,1,1.0,1.0,AO7YU81HVFO3P
31625,0,0,1,0.0,0.0,A126AZX6NT1T42
31734,0,1,1,0.0,1.0,A1KDM0N4UCEPHA
31651,0,1,1,0.0,1.0,A4AKUV4HGH35H
31735,0,1,1,0.0,1.0,A24A5RQIFTLB07
31623,1,1,1,1.0,1.0,A2XB71D8RZOI64
31622,1,1,1,1.0,1.0,A36IK21GL4B547
112,0,1,1,0.0,1.0,A3BO98PY7F9027
31737,1,1,1,1.0,1.0,A29K289KUTT08W
31621,1,1,1,1.0,1.0,A1B2SYCWT8GCOI
31620,0,1,1,0.0,1.0,A1YEPZZ4HH13FR
31632,1,1,1,1.0,1.0,A2IJZWRR8GJ9A
31633,0,0,1,0.0,0.0,APM2F26FGW97R
31634,0,0,1,0.0,0.0,A3Q7FQ33ICJ4ZQ
31635,0,1,1,0.0,1.0,A2EJMPS57PVMDS
31649,1,1,1,1.0,1.0,ANYCOPURRWWD9
